date,subtheatre,region,productgroup,productlinecode,ordertype,bookingquantity,bookingamt,total_list
2019-04-02,EMEA,CEEMA,SOF,N6,ZOR,692,"16,035.89","54,192.76"
2019-04-12,EMEA,Cross Geo (Philip),SOF,N6,SH,495,"11,644.62","39,279.77"
2019-04-02,EMEA,Cross Geo (Philip),SOF,N6,ZCR,0,-858.64,0
2019-04-02,EMEA,Cross Geo (Philip),SOF,N6,ZDR,0,858.64,0
2019-04-25,EMEA,Cross Geo (Philip),SOF,N6,ZOR,23,596.61,"1,906.66"
2019-04-28,EMEA,DACH&Russia,SOF,N6,SH,12514,"4,92,978.60","13,86,880.72"
2019-04-19,EMEA,DACH&Russia,SOF,N6,ZOR,783,"15,005.38","59,835.89"
2019-04-12,EMEA,France,SOF,N6,SH,5510,"1,69,491.88","6,58,489.59"
2019-04-20,EMEA,France,SOF,N6,ZCR,0,-330.96,-840
2019-04-27,EMEA,France,SOF,N6,ZDR,0,330.96,840
2019-04-24,EMEA,France,SOF,N6,ZOR,11,280.81,903.33
2019-04-17,EMEA,NOE,SOF,N6,SH,13421,"4,30,841.76","13,26,523.70"
2019-04-23,EMEA,NOE,SOF,N6,ZOR,1057,"18,852.10","87,684.19"
2019-04-17,EMEA,SOE,SOF,N6,SH,5723,"2,00,682.68","5,30,543.28"
2019-04-01,EMEA,SOE,SOF,N6,ZOR,48,"1,098.79","3,775.15"
2019-04-16,EMEA,UK&I,SOF,N6,SH,4393,"1,59,344.70","5,37,620.28"
2019-04-08,EMEA,UK&I,SOF,N6,ZCR,0,-110.32,-280
2019-04-22,EMEA,UK&I,SOF,N6,ZDR,0,110.32,280
2019-04-09,EMEA,UK&I,SOF,N6,ZOR,423,"40,405.16","1,33,587.98"
2019-04-14,EMEA,CEEMA,SOF,VN,SH,15,"60,365.34","1,30,423.89"
2019-04-06,EMEA,France,SOF,VN,SH,0,0,0
2019-04-10,EMEA,NOE,SOF,VN,SH,19,"26,143.55","1,05,531.21"
2019-04-21,EMEA,UK&I,SOF,VN,SH,5,"7,455.24","31,780.19"
2019-04-09,EMEA,UK&I,SOF,VN,ZOR,50,"1,231.48","2,736.62"
2019-04-18,EMEA,CEEMA,SOF,L3,SH,134,"5,27,078.31","16,02,548.46"
2019-04-25,EMEA,CEEMA,SOF,L3,ZCR,-2,"-3,794.96","-17,651.00"
2019-04-05,EMEA,CEEMA,SOF,L3,ZDR,10,"10,279.95","43,499.75"
2019-04-07,EMEA,CEEMA,SOF,L3,ZOR,33,"1,55,693.99","7,10,872.10"
2019-04-15,EMEA,Cross Geo (Philip),SOF,L3,SH,6,"68,681.56","1,98,977.72"
2019-04-07,EMEA,DACH&Russia,SOF,L3,SH,69,"4,38,060.96","13,93,889.14"
2019-04-05,EMEA,DACH&Russia,SOF,L3,ZOR,6,"17,202.12","53,285.61"
2019-04-10,EMEA,DACH&Russia,SOF,L3,ZRE,-2,"-5,784.99","-14,462.47"
2019-04-27,EMEA,France,SOF,L3,SH,27,"74,891.79","2,88,220.41"
2019-04-16,EMEA,NOE,SOF,L3,SH,124,"8,38,938.47","17,57,684.75"
2019-04-07,EMEA,NOE,SOF,L3,ZCRN,-4,"-2,360.97","-3,473.47"
2019-04-02,EMEA,NOE,SOF,L3,ZOR,2,"4,415.44","20,536.94"
2019-04-19,EMEA,SOE,SOF,L3,SH,67,"3,80,588.51","11,33,964.13"
2019-04-18,EMEA,SOE,SOF,L3,ZCRN,-10,-715.22,"-1,277.17"
2019-04-05,EMEA,SOE,SOF,L3,ZOR,7,"31,794.22","92,980.74"
2019-04-10,EMEA,UK&I,SOF,L3,SH,33,"1,61,096.39","4,61,536.61"
2019-04-06,EMEA,CEEMA,SOF,N6,SH,9904,"5,26,591.93","16,74,418.26"
2019-04-19,EMEA,CEEMA,SOF,N6,ZCR,-74,"-1,304.62","-6,068.00"
2019-04-03,EMEA,CEEMA,SOF,N6,ZDR,100,"1,638.16","7,574.00"
2019-04-13,EMEA,CEEMA,SOF,N6,ZOR,1710,"35,594.42","1,62,401.33"
2019-04-15,EMEA,Cross Geo (Philip),SOF,N6,SH,3008,"65,494.81","2,36,684.06"
2019-04-26,EMEA,Cross Geo (Philip),SOF,N6,ZOR,48,"3,300.45","9,883.99"
2019-04-12,EMEA,DACH&Russia,SOF,N6,SH,11138,"2,79,106.95","9,99,539.23"
2019-04-03,EMEA,DACH&Russia,SOF,N6,ZOR,447,"12,453.43","35,182.09"
2019-04-01,EMEA,France,SOF,N6,SH,5719,"1,69,473.05","8,62,546.81"
2019-04-15,EMEA,France,SOF,N6,ZCR,-125,"-3,308.68","-9,495.76"
2019-04-24,EMEA,France,SOF,N6,ZCRN,200,0,0
2019-04-16,EMEA,France,SOF,N6,ZDR,125,"3,308.68","9,495.76"
2019-04-16,EMEA,France,SOF,N6,ZOR,2018,"32,939.42","1,67,864.77"
2019-04-22,EMEA,NOE,SOF,N6,SH,12320,"4,60,605.86","16,32,197.42"
2019-04-15,EMEA,NOE,SOF,N6,ZCR,-197,"-5,341.42","-14,775.00"
2019-04-28,EMEA,NOE,SOF,N6,ZOR,177,"4,203.44","14,499.15"
2019-04-03,EMEA,SOE,SOF,N6,SH,8464,"2,33,778.36","7,73,922.59"
2019-04-21,EMEA,SOE,SOF,N6,ZCRN,-6,-564.95,"-1,008.83"
2019-04-03,EMEA,SOE,SOF,N6,ZOR,365,"8,365.47","27,992.33"
2019-04-12,EMEA,UK&I,SOF,N6,SH,7289,"2,32,976.02","6,96,746.87"
2019-04-23,EMEA,UK&I,SOF,N6,ZOR,37,"3,089.81","10,250.92"
2019-04-16,EMEA,CEEMA,SOF,VN,SH,26,"16,435.64","61,593.67"
2019-04-23,EMEA,Cross Geo (Philip),SOF,VN,SH,1,415.66,"1,385.53"
2019-04-18,EMEA,DACH&Russia,SOF,VN,SH,2,192.14,640.48
2019-04-26,EMEA,France,SOF,VN,SH,1,"1,203.77","4,012.56"
2019-04-18,EMEA,NOE,SOF,VN,SH,23,"5,847.46","21,179.21"
2019-04-04,EMEA,UK&I,SOF,VN,SH,17,"50,056.92","1,47,984.33"
2019-04-13,EMEA,CEEMA,SOF,L3,SH,83,"2,50,270.35","10,73,957.82"
2019-04-24,EMEA,CEEMA,SOF,L3,ZOR,6,"25,905.31","1,02,749.63"
2019-04-16,EMEA,Cross Geo (Philip),SOF,L3,SH,2,"2,985.89","10,663.88"
2019-04-01,EMEA,DACH&Russia,SOF,L3,SH,52,"1,78,316.54","5,77,945.89"
2019-04-02,EMEA,DACH&Russia,SOF,L3,ZCR,-1,"-2,127.35","-4,921.21"
2019-04-16,EMEA,DACH&Russia,SOF,L3,ZOR,1,"2,127.35","4,921.21"
2019-04-04,EMEA,France,SOF,L3,SH,22,"91,257.16","2,94,994.13"
2019-04-06,EMEA,NOE,SOF,L3,SH,47,"2,09,374.29","6,14,993.05"
2019-04-04,EMEA,NOE,SOF,L3,ZCRN,-2,-439.57,-784.94
2019-04-05,EMEA,SOE,SOF,L3,SH,61,"1,10,827.04","3,42,153.49"
2019-04-28,EMEA,SOE,SOF,L3,ZCRN,-2,"-3,597.39","-3,784.44"
2019-04-26,EMEA,SOE,SOF,L3,ZOR,2,"3,362.74","8,264.27"
2019-04-05,EMEA,UK&I,SOF,L3,SH,281,"1,46,370.92","4,84,749.60"
2019-04-21,EMEA,CEEMA,SOF,N6,SH,6660,"1,56,069.82","6,42,845.52"
2019-04-12,EMEA,CEEMA,SOF,N6,ZOR,266,"6,343.48","24,115.84"
2019-04-02,EMEA,Cross Geo (Philip),SOF,N6,SH,282,"7,745.95","25,327.87"
2019-04-07,EMEA,Cross Geo (Philip),SOF,N6,ZOR,32,888.01,"2,462.36"
2019-04-01,EMEA,DACH&Russia,SOF,N6,SH,10145,"4,41,250.51","13,34,737.26"
2019-04-18,EMEA,DACH&Russia,SOF,N6,ZOR,1544,"16,299.68","1,31,767.36"
2019-04-06,EMEA,France,SOF,N6,SH,2313,"59,118.57","1,92,606.93"
2019-04-05,EMEA,France,SOF,N6,ZCRN,-6,-963.48,"-1,738.36"
2019-04-05,EMEA,France,SOF,N6,ZOR,29,665.29,"2,374.89"
2019-04-03,EMEA,NOE,SOF,N6,SH,11193,"4,12,250.16","14,07,987.92"
2019-04-10,EMEA,NOE,SOF,N6,ZCR,-142,"-2,184.51","-10,797.60"
2019-04-10,EMEA,NOE,SOF,N6,ZCRN,-2,-223.64,-399.36
2019-04-10,EMEA,NOE,SOF,N6,ZOR,241,"4,864.79","19,705.23"
2019-04-10,EMEA,SOE,SOF,N6,SH,14716,"2,56,364.51","12,59,630.04"
2019-04-05,EMEA,SOE,SOF,N6,ZCRN,-966,"-4,841.76","-72,450.00"
2019-04-16,EMEA,SOE,SOF,N6,ZOR,78,"2,342.75","6,210.44"
2019-04-26,EMEA,UK&I,SOF,N6,SH,4164,"2,38,958.64","5,95,657.01"
2019-04-23,EMEA,UK&I,SOF,N6,ZOR,19,"1,893.75","3,418.67"
2019-04-24,EMEA,DACH&Russia,SOF,VN,SH,7,"13,750.11","71,211.71"
2019-04-26,EMEA,France,SOF,VN,SH,7,697.6,"2,491.38"
2019-04-20,EMEA,NOE,SOF,VN,SH,2,283.26,429.2
2019-04-13,EMEA,SOE,SOF,VN,SH,2,"13,573.23","58,254.53"
2019-04-23,EMEA,SOE,SOF,VN,ZOR,19,"1,02,648.69","1,85,756.72"
2019-04-04,EMEA,UK&I,SOF,VN,SH,2,"5,909.20","8,953.33"
2019-04-16,EMEA,CEEMA,SOF,L3,SH,99,"2,35,647.29","9,37,257.90"
2019-04-04,EMEA,CEEMA,SOF,L3,ZOR,32,"3,08,366.89","10,77,344.26"
2019-04-12,EMEA,CEEMA,SOF,L3,ZRE,-8,"-37,703.40","-98,000.00"
2019-04-07,EMEA,Cross Geo (Philip),SOF,L3,SH,1,"1,458.44","4,704.63"
2019-04-05,EMEA,DACH&Russia,SOF,L3,SH,128,"3,24,091.45","12,50,627.71"
2019-04-17,EMEA,DACH&Russia,SOF,L3,ZOR,2,"32,645.76","32,645.76"
2019-04-11,EMEA,France,SOF,L3,SH,16,"61,704.19","1,76,970.55"
2019-04-02,EMEA,NOE,SOF,L3,SH,53,"1,98,375.70","5,58,819.32"
2019-04-07,EMEA,NOE,SOF,L3,ZCRN,-4,-214.92,-383.78
2019-04-11,EMEA,NOE,SOF,L3,ZOR,2,"3,029.76","7,574.40"
2019-04-22,EMEA,SOE,SOF,L3,SH,1050,"5,32,150.06","20,94,442.66"
2019-04-22,EMEA,SOE,SOF,L3,ZOR,3,"4,601.15","11,307.78"
2019-04-16,EMEA,UK&I,SOF,L3,SH,317,"5,20,454.05","92,42,884.49"
2019-04-02,EMEA,UK&I,SOF,L3,ZCMN,3,"-1,184.80","-1,499.67"
2019-04-21,EMEA,UK&I,SOF,L3,ZCRN,-2,-274.24,-347.14
2019-04-06,EMEA,CEEMA,SOF,N6,SH,5709,"1,35,933.81","4,75,671.62"
2019-04-17,EMEA,CEEMA,SOF,N6,ZOR,342,"16,469.93","45,325.41"
2019-04-26,EMEA,Cross Geo (Philip),SOF,N6,SH,1532,"31,643.77","1,52,059.99"
2019-04-08,EMEA,Cross Geo (Philip),SOF,N6,ZOR,40,"1,008.78","3,241.38"
2019-04-28,EMEA,DACH&Russia,SOF,N6,SH,11984,"2,68,694.76","10,48,984.38"
2019-04-21,EMEA,DACH&Russia,SOF,N6,ZCRN,-8,"-6,221.34","-7,603.86"
2019-04-05,EMEA,DACH&Russia,SOF,N6,ZOR,572,"15,302.76","43,773.67"
2019-04-28,EMEA,France,SOF,N6,SH,4321,"1,17,392.18","3,62,262.42"
2019-04-15,EMEA,France,SOF,N6,ZOR,237,"7,713.71","20,250.16"
2019-04-09,EMEA,NOE,SOF,N6,SH,7343,"3,04,512.75","8,70,873.62"
2019-04-20,EMEA,NOE,SOF,N6,ZOR,157,"4,222.35","12,619.12"
2019-04-06,EMEA,SOE,SOF,N6,SH,7864,"2,02,736.56","7,42,969.45"
2019-04-03,EMEA,SOE,SOF,N6,ZOR,277,"6,751.38","21,195.42"
2019-04-05,EMEA,UK&I,SOF,N6,SH,5114,"2,13,122.31","7,09,674.72"
2019-04-20,EMEA,UK&I,SOF,N6,ZCRN,-2,-723,-915.19
2019-04-24,EMEA,UK&I,SOF,N6,ZOR,269,"9,033.75","21,262.66"
2019-04-13,EMEA,CEEMA,SOF,VN,SH,78,"51,465.75","2,18,762.52"
2019-04-10,EMEA,CEEMA,SOF,VN,ZCRN,2,0,0
2019-04-09,EMEA,CEEMA,SOF,VN,ZOR,1,78.75,375
2019-04-28,EMEA,DACH&Russia,SOF,VN,SH,3,823.21,"2,990.95"
2019-04-09,EMEA,France,SOF,VN,SH,4,467.35,"1,263.10"
2019-04-03,EMEA,SOE,SOF,VN,SH,31,"13,091.98","44,464.82"
2019-04-02,EMEA,UK&I,SOF,VN,SH,3,"3,760.40","5,697.56"
2019-04-08,EMEA,CEEMA,WIR,34,SH,2374,"12,03,722.77","56,52,919.40"
2019-04-13,EMEA,CEEMA,WIR,34,ZCGD,21,-934.92,"-2,945.88"
2019-04-02,EMEA,CEEMA,WIR,34,ZCMN,2,0,0
2019-04-05,EMEA,CEEMA,WIR,34,ZCRN,302,0,0
2019-04-17,EMEA,CEEMA,WIR,34,ZOR,449,"1,57,784.79","8,56,864.05"
2019-04-23,EMEA,CEEMA,WIR,34,ZRE,-16,"-1,458.08","-6,160.00"
2019-04-19,EMEA,Cross Geo (Philip),WIR,34,SH,207,"1,66,168.02","3,86,104.09"
2019-04-16,EMEA,Cross Geo (Philip),WIR,34,ZCMN,19,0,0
2019-04-21,EMEA,Cross Geo (Philip),WIR,34,ZCR,-34,"-11,540.51","-22,300.65"
2019-04-11,EMEA,Cross Geo (Philip),WIR,34,ZCRN,36,0,"1,354.09"
2019-04-02,EMEA,Cross Geo (Philip),WIR,34,ZDR,39,"13,709.46","25,620.15"
2019-04-15,EMEA,Cross Geo (Philip),WIR,34,ZOR,931,"1,68,824.54","8,04,503.34"
2019-04-03,EMEA,Cross Geo (Philip),WIR,34,ZRE,4,"2,774.35","6,685.07"
2019-04-26,EMEA,DACH&Russia,WIR,34,SH,4887,"21,44,475.41","93,28,005.20"
2019-04-02,EMEA,DACH&Russia,WIR,34,ZCR,-94,"-32,099.09","-1,98,775.27"
2019-04-24,EMEA,DACH&Russia,WIR,34,ZCRN,294,0,0
2019-04-23,EMEA,DACH&Russia,WIR,34,ZDR,91,"23,470.73","1,90,435.94"
2019-04-19,EMEA,DACH&Russia,WIR,34,ZOR,1426,"10,17,407.16","71,06,779.55"
2019-04-24,EMEA,DACH&Russia,WIR,34,ZRE,-5,"-1,445.14","-10,053.21"
2019-04-25,EMEA,France,WIR,34,SH,8706,"33,38,691.98","2,07,58,916.74"
2019-04-09,EMEA,France,WIR,34,ZCRN,205,0,0
2019-04-14,EMEA,France,WIR,34,ZOR,2663,"5,48,611.71","36,84,213.73"
2019-04-08,EMEA,NOE,WIR,34,SH,1770,"6,64,941.41","36,48,894.59"
2019-04-21,EMEA,NOE,WIR,34,ZCR,-4,"-5,318.17","-8,057.83"
2019-04-20,EMEA,NOE,WIR,34,ZCRN,383,0,0
2019-04-02,EMEA,NOE,WIR,34,ZCRP,2,0,0
2019-04-09,EMEA,NOE,WIR,34,ZDR,4,"1,096.67","8,057.83"
2019-04-09,EMEA,NOE,WIR,34,ZOR,158,"69,077.35","2,85,927.46"
2019-04-15,EMEA,NOE,WIR,34,ZRE,-1,-157.6,"-2,015.01"
2019-04-12,EMEA,SOE,WIR,34,SH,3970,"9,65,450.94","70,95,671.19"
2019-04-13,EMEA,SOE,WIR,34,ZCRN,74,0,0
2019-04-06,EMEA,SOE,WIR,34,ZDR,6,"5,916.40","21,130.00"
2019-04-14,EMEA,SOE,WIR,34,ZOR,39,"26,773.48","88,527.76"
2019-04-01,EMEA,SOE,WIR,34,ZRE,-166,"-80,789.95","-4,67,250.00"
2019-04-01,EMEA,UK&I,WIR,34,SH,2081,"13,16,543.75","60,49,093.94"
2019-04-26,EMEA,UK&I,WIR,34,ZCGD,81,"-7,430.64","-14,199.48"
2019-04-01,EMEA,UK&I,WIR,34,ZCR,-8,"-2,240.17","-7,123.16"
2019-04-23,EMEA,UK&I,WIR,34,ZCRN,64,0,0
2019-04-18,EMEA,UK&I,WIR,34,ZCRP,4,0,0
2019-04-12,EMEA,UK&I,WIR,34,ZDR,9,"2,826.62","10,494.27"
2019-04-07,EMEA,UK&I,WIR,34,ZOR,59,"29,837.11","98,298.41"
2019-04-17,EMEA,CEEMA,WIR,35,SH,16295,"69,90,023.98","2,80,31,189.48"
2019-04-01,EMEA,CEEMA,WIR,35,ZCR,-16,"-8,394.63","-33,358.10"
2019-04-24,EMEA,CEEMA,WIR,35,ZCRN,74,0,0
2019-04-22,EMEA,CEEMA,WIR,35,ZDR,48,"1,08,650.63","1,10,845.05"
2019-04-13,EMEA,CEEMA,WIR,35,ZOR,6827,"27,96,753.87","1,55,98,726.21"
2019-04-05,EMEA,CEEMA,WIR,35,ZRE,-102,"-1,21,277.00","-1,70,326.00"
2019-04-10,EMEA,Cross Geo (Philip),WIR,35,SH,2177,"12,52,196.95","36,92,191.82"
2019-04-18,EMEA,Cross Geo (Philip),WIR,35,ZCRN,22,0,0
2019-04-23,EMEA,Cross Geo (Philip),WIR,35,ZOR,460,"2,25,924.62","6,78,280.79"
2019-04-16,EMEA,Cross Geo (Philip),WIR,35,ZRE,8,668.97,"2,644.07"
2019-04-27,EMEA,DACH&Russia,WIR,35,SH,26431,"1,24,38,152.15","4,69,82,435.82"
2019-04-04,EMEA,DACH&Russia,WIR,35,ZCMN,3,0,0
2019-04-03,EMEA,DACH&Russia,WIR,35,ZCR,-40,"-13,690.03","-52,112.72"
2019-04-17,EMEA,DACH&Russia,WIR,35,ZCRN,339,0,0
2019-04-01,EMEA,DACH&Russia,WIR,35,ZDR,62,"50,118.52","1,58,421.52"
2019-04-14,EMEA,DACH&Russia,WIR,35,ZOR,1163,"6,59,334.44","19,05,488.58"
2019-04-24,EMEA,DACH&Russia,WIR,35,ZRE,0,-13.33,-52.53
2019-04-10,EMEA,France,WIR,35,SH,15811,"63,69,792.18","2,75,16,654.83"
2019-04-10,EMEA,France,WIR,35,ZCMN,1,0,0
2019-04-27,EMEA,France,WIR,35,ZCR,-2,"-6,272.74","-26,914.93"
2019-04-18,EMEA,France,WIR,35,ZCRN,22,0,0
2019-04-21,EMEA,France,WIR,35,ZDR,2,"6,272.74","26,914.93"
2019-04-28,EMEA,France,WIR,35,ZOR,3736,"13,78,330.08","68,83,969.18"
2019-04-06,EMEA,France,WIR,35,ZRE,-192,"-54,511.34","-2,23,154.40"
2019-04-07,EMEA,NOE,WIR,35,SH,13619,"75,87,382.15","2,60,96,635.49"
2019-04-14,EMEA,NOE,WIR,35,ZCR,-43,"-6,831.28","-25,290.91"
2019-04-18,EMEA,NOE,WIR,35,ZCRN,74,0,0
2019-04-19,EMEA,NOE,WIR,35,ZCRP,2,0,0
2019-04-17,EMEA,NOE,WIR,35,ZDR,43,"6,831.28","6,831.28"
2019-04-04,EMEA,NOE,WIR,35,ZOR,3912,"9,74,123.84","30,30,930.94"
2019-04-05,EMEA,SOE,WIR,35,SH,15086,"57,88,156.76","2,78,03,741.17"
2019-04-02,EMEA,SOE,WIR,35,ZCR,-3,"-3,962.18","-14,155.71"
2019-04-26,EMEA,SOE,WIR,35,ZCRN,329,0,0
2019-04-21,EMEA,SOE,WIR,35,ZDR,17,"6,184.15","27,226.00"
2019-04-07,EMEA,SOE,WIR,35,ZOR,1303,"5,56,432.76","26,52,082.73"
2019-04-12,EMEA,SOE,WIR,35,ZOTM,1,0,0
2019-04-06,EMEA,UK&I,WIR,35,SH,6029,"27,62,753.14","1,06,63,027.96"
2019-04-14,EMEA,UK&I,WIR,35,ZCR,0,"-2,042.69","-8,822.34"
2019-04-08,EMEA,UK&I,WIR,35,ZCRN,317,0,0
2019-04-24,EMEA,UK&I,WIR,35,ZDR,0,"2,042.69","8,822.34"
2019-04-17,EMEA,UK&I,WIR,35,ZOR,452,"1,88,237.97","5,77,034.72"
2019-04-06,EMEA,UK&I,WIR,35,ZRE,-5,"-4,844.19","-13,456.09"
2019-04-19,EMEA,CEEMA,WIR,6H,SH,268,"1,87,387.01","6,35,063.77"
2019-04-01,EMEA,CEEMA,WIR,6H,ZCRN,131,0,0
2019-04-27,EMEA,CEEMA,WIR,6H,ZOR,18,"24,385.35","89,359.96"
2019-04-03,EMEA,Cross Geo (Philip),WIR,6H,SH,8,"8,827.98","37,696.34"
2019-04-27,EMEA,Cross Geo (Philip),WIR,6H,ZCRN,9,0,0
2019-04-21,EMEA,Cross Geo (Philip),WIR,6H,ZOR,0,0,0
2019-04-04,EMEA,DACH&Russia,WIR,6H,SH,241,"2,78,310.49","7,28,199.64"
2019-04-20,EMEA,DACH&Russia,WIR,6H,ZCRN,203,0,0
2019-04-06,EMEA,DACH&Russia,WIR,6H,ZOR,12,"29,385.23","63,607.52"
2019-04-22,EMEA,France,WIR,6H,SH,42,"45,062.66","1,50,615.31"
2019-04-17,EMEA,France,WIR,6H,ZCRN,70,0,0
2019-04-14,EMEA,France,WIR,6H,ZOR,1,"1,836.73","5,817.04"
2019-04-09,EMEA,NOE,WIR,6H,SH,71,"65,650.59","1,80,537.45"
2019-04-19,EMEA,NOE,WIR,6H,ZCRN,58,0,0
2019-04-12,EMEA,NOE,WIR,6H,ZCRP,4,0,0
2019-04-06,EMEA,NOE,WIR,6H,ZOR,1,"2,035.96","5,817.04"
2019-04-15,EMEA,SOE,WIR,6H,SH,43,"43,237.06","1,12,302.30"
2019-04-10,EMEA,SOE,WIR,6H,ZCRN,142,0,0
2019-04-17,EMEA,SOE,WIR,6H,ZDR,1,277.28,277.28
2019-04-07,EMEA,SOE,WIR,6H,ZOR,4,"4,224.85","17,875.05"
2019-04-12,EMEA,UK&I,WIR,6H,SH,39,"46,798.88","1,03,932.26"
2019-04-16,EMEA,UK&I,WIR,6H,ZCRN,39,0,0
2019-04-07,EMEA,UK&I,WIR,6H,ZCRP,16,0,0
2019-04-07,EMEA,CEEMA,WIR,I5,SH,4423,"9,56,504.00","23,27,707.53"
2019-04-15,EMEA,CEEMA,WIR,I5,ZCRN,4,-13.45,-26.95
2019-04-01,EMEA,CEEMA,WIR,I5,ZOR,55,"27,031.89","71,242.61"
2019-04-11,EMEA,DACH&Russia,WIR,I5,SH,9570,"20,09,314.71","49,72,362.55"
2019-04-12,EMEA,DACH&Russia,WIR,I5,ZCRN,6,0,0
2019-04-05,EMEA,DACH&Russia,WIR,I5,ZOR,223,"15,420.21","35,356.13"
2019-04-15,EMEA,France,WIR,I5,SH,2464,"4,72,570.83","11,74,421.43"
2019-04-09,EMEA,France,WIR,I5,ZOR,34,"7,156.29","15,805.69"
2019-04-15,EMEA,NOE,WIR,I5,SH,4487,"7,50,395.59","18,61,556.82"
2019-04-16,EMEA,NOE,WIR,I5,ZOR,240,"18,907.45","37,889.81"
2019-04-16,EMEA,SOE,WIR,I5,SH,6520,"13,13,812.13","30,62,690.89"
2019-04-27,EMEA,SOE,WIR,I5,ZCRN,100,0,0
2019-04-03,EMEA,SOE,WIR,I5,ZOR,16,"5,203.72","13,902.12"
2019-04-26,EMEA,UK&I,WIR,I5,SH,1550,"4,31,095.92","11,05,521.44"
2019-04-05,EMEA,UK&I,WIR,I5,ZOR,0,76.19,-179.74
2019-04-17,EMEA,CEEMA,WIR,34,SH,2521,"15,91,520.12","81,32,305.58"
2019-04-28,EMEA,CEEMA,WIR,34,ZCRN,1503,"-14,286.95","-18,616.09"
2019-04-26,EMEA,CEEMA,WIR,34,ZDR,20,"3,928.37","34,399.03"
2019-04-13,EMEA,CEEMA,WIR,34,ZOR,622,"3,60,784.07","13,83,474.16"
2019-04-05,EMEA,CEEMA,WIR,34,ZRE,-36,"-9,857.72","-54,859.92"
2019-04-14,EMEA,Cross Geo (Philip),WIR,34,SH,284,"4,06,510.45","8,57,533.12"
2019-04-14,EMEA,Cross Geo (Philip),WIR,34,ZCR,-92,"-56,729.03","-2,06,023.75"
2019-04-28,EMEA,Cross Geo (Philip),WIR,34,ZCRN,121,0,0
2019-04-20,EMEA,Cross Geo (Philip),WIR,34,ZDR,110,"60,168.89","2,39,608.61"
2019-04-09,EMEA,Cross Geo (Philip),WIR,34,ZOR,662,"2,22,236.41","12,00,558.66"
2019-04-18,EMEA,Cross Geo (Philip),WIR,34,ZRE,-30,"-10,570.25","-29,196.39"
2019-04-19,EMEA,DACH&Russia,WIR,34,SH,5336,"36,38,674.66","1,23,58,789.01"
2019-04-21,EMEA,DACH&Russia,WIR,34,ZCRN,1253,0,0
2019-04-05,EMEA,DACH&Russia,WIR,34,ZDR,8,"12,766.31","12,766.31"
2019-04-07,EMEA,DACH&Russia,WIR,34,ZOR,1337,"4,10,450.11","15,99,300.40"
2019-04-05,EMEA,DACH&Russia,WIR,34,ZRE,-9,"-13,315.05","-14,741.79"
2019-04-10,EMEA,France,WIR,34,SH,7760,"33,32,160.73","1,84,92,214.11"
2019-04-06,EMEA,France,WIR,34,ZCR,-45,"-28,120.26","-1,02,604.79"
2019-04-19,EMEA,France,WIR,34,ZCRN,212,0,0
2019-04-14,EMEA,France,WIR,34,ZDR,45,"28,120.26","1,02,604.79"
2019-04-13,EMEA,France,WIR,34,ZOR,3214,"6,40,541.27","45,06,661.50"
2019-04-10,EMEA,NOE,WIR,34,SH,1575,"7,14,312.05","44,69,276.93"
2019-04-25,EMEA,NOE,WIR,34,ZCR,-3,"-2,109.09","-7,708.68"
2019-04-28,EMEA,NOE,WIR,34,ZCRN,339,0,0
2019-04-20,EMEA,NOE,WIR,34,ZDR,3,"2,109.09","7,708.68"
2019-04-27,EMEA,NOE,WIR,34,ZOR,434,"2,80,794.94","11,42,127.56"
2019-04-13,EMEA,SOE,WIR,34,SH,3513,"9,69,342.37","73,10,439.08"
2019-04-25,EMEA,SOE,WIR,34,ZCRN,293,0,0
2019-04-13,EMEA,SOE,WIR,34,ZDR,29,"8,051.10","47,937.63"
2019-04-18,EMEA,SOE,WIR,34,ZOR,381,"1,55,354.85","7,83,011.24"
2019-04-12,EMEA,SOE,WIR,34,ZRE,-14,"-4,369.86","-24,942.00"
2019-04-06,EMEA,UK&I,WIR,34,SH,1565,"7,43,494.43","34,51,302.15"
2019-04-12,EMEA,UK&I,WIR,34,ZCRN,106,0,0
2019-04-12,EMEA,UK&I,WIR,34,ZOR,68,"33,504.59","1,29,524.66"
2019-04-17,EMEA,CEEMA,WIR,35,SH,22330,"98,18,402.55","4,06,74,580.26"
2019-04-10,EMEA,CEEMA,WIR,35,ZCR,-96,"-38,897.18","-1,35,170.87"
2019-04-02,EMEA,CEEMA,WIR,35,ZCRN,197,"-3,172.44","-4,139.86"
2019-04-11,EMEA,CEEMA,WIR,35,ZDR,96,"38,897.18","1,32,608.31"
2019-04-20,EMEA,CEEMA,WIR,35,ZOR,1500,"6,58,057.19","26,57,068.37"
2019-04-18,EMEA,CEEMA,WIR,35,ZRE,-32,"-22,022.82","-80,087.00"
2019-04-05,EMEA,Cross Geo (Philip),WIR,35,SH,2317,"13,52,455.51","41,32,921.25"
2019-04-01,EMEA,Cross Geo (Philip),WIR,35,ZCMN,5,-174.84,-269.04
2019-04-27,EMEA,Cross Geo (Philip),WIR,35,ZCRN,2,0,0
2019-04-24,EMEA,Cross Geo (Philip),WIR,35,ZOR,238,"98,754.92","2,94,700.82"
2019-04-28,EMEA,DACH&Russia,WIR,35,SH,21587,"1,04,63,015.78","3,92,95,597.49"
2019-04-21,EMEA,DACH&Russia,WIR,35,ZCR,-9,"-35,348.52","-90,228.59"
